Box,treatment,total_consumed,Feeding.rate.wet,Feeding.rate.dry,INITIAL_WET_WT,FINAL_WET_WT,INITIAL_MEAN_TD,FINAL_MEAN_TD,FINAL_DRY_URCHIN_WT,FINAL_GONAD_WET_WT,FINAL_GONAD_DRY_WT,ESOPHOGEAL_BAND_LENGTH,FINAL_JAW_LENGTH,INITIAL_JAW_LENGTH,GONAD_INDEX,TEST_CHANGE,WET_WT_CHANGE
1,MAPY,76.50409669,0.058804071,0.006454893,14.78,25.7942,32.38,40.06,7.6015,4.0815,0.7738,0.45,7.6,7.15,0.09239072,7.68,11.0142
3,R,57.0875782,0.051291625,0.011449023,16.78,21.548,34,37.74,7.3445,1.7578,0.3114,NA,7.52,NA,0.040674512,3.74,4.768
5,POLY,107.7104411,0.0827905,0.01225849,22.76,34.199,38.38,44.16,10.4933,6.1132,1.1835,0.33,8.78,8.45,0.101354823,5.78,11.439
6,MAPY,90.41894826,0.069499576,0.007628933,15,25.6553,33.46,39.8,7.7513,3.2869,0.7454,0.39,7.84,7.45,0.087728177,6.34,10.6553
8,R,56.2564783,0.050544904,0.011282345,11.37,18.0529,30.28,35.28,5.9656,1.2828,0.2639,0.12,7.53,7.41,0.04236295,5,6.6829
10,POLY,70.41290076,0.054122137,0.007344447,12.96,20.1465,32.02,36.96,6.2262,3.233,0.6282,0.54,7.55,7.01,0.09164916,4.94,7.1865
11,MAPY,92.96798134,0.071458863,0.007844003,20.38,26.05,36.14,40.18,8.2624,5.0346,0.9756,0.3,8.14,7.84,0.105607274,4.04,5.67
13,R,53.74071645,0.048284561,0.010777804,12.25,18.0027,30.04,35.88,6.2053,1.5107,0.2408,0.24,7.28,7.04,0.037355921,5.84,5.7527
15,POLY,78.46828668,0.060313825,0.008217007,16.28,27.635,33.68,40.98,8.0851,4.7003,0.8527,0.54,8.07,7.53,0.095403791,7.3,11.355
16,MAPY,91.48932146,0.070322307,0.007719243,15.59,24.549,32.98,39.38,8.3008,2.5224,0.4544,0.45,7.47,7.02,0.051900585,6.4,8.959
18,R,53.84179617,0.048375378,0.010798076,13.54,19.895,31.54,35.72,6.691,NA,NA,0.27,7.59,7.32,NA,4.18,6.355
20,POLY,104.2124173,0.080101781,0.010485855,19.35,29.119,35.88,41.34,9.108,4.5606,0.9707,0.3,8.18,7.88,0.096312024,5.46,9.769
21,MAPY,143.5072519,0.110305344,0.012108161,17.89,33.644,34.54,42.9,10.0373,4.5309,0.9178,0.6,8.55,7.95,0.083778332,8.36,15.754
23,R,43.0262664,0.038657921,0.008629,14.29,18.085,32.56,35.44,5.7946,2.4118,0.398,0.27,7.59,7.32,0.064270258,2.88,3.795
25,POLY,63.22926209,0.048600509,0.007012619,16.42,23.5913,33.72,38.38,8.2968,3.8851,0.8031,0.3,8.29,7.99,0.088253717,4.66,7.1713
26,MAPY,98.51847328,0.075725191,0.008312315,12.05,23.466,29.92,37.68,7.4686,3.2764,0.6564,0.45,7.73,7.28,0.080787692,7.76,11.416
28,R,51.4945005,0.046266398,0.010327321,18.48,23.8114,34.44,38.86,7.7045,2.9029,0.4661,NA,8.17,NA,0.057045994,4.42,5.3314
30,POLY,89.20512299,0.068566582,0.009222136,14.79,22.565,32.7,38.14,6.8422,4.1273,0.8235,0.39,7.94,7.55,0.107426589,5.44,7.775
31,MAPY,90.51826124,0.069575912,0.007637312,13.26,20.997,31.78,36.72,6.5245,2.9392,0.5791,0.36,7.39,7.03,0.081522045,4.94,7.737
33,R,61.0184561,0.054823411,0.012237368,15.65,19.0929,33.68,36.82,6.45,1.0924,0.213,0.09,7.89,7.8,0.031967582,3.14,3.4429
35,POLY,90.57343511,0.069618321,0.009390293,18.75,31.3442,35.38,43.36,9.7815,2.7404,0.56991,0.81,8.21,7.4,0.055056268,7.98,12.5942
